Activity_IDActivity_Name
T010101Sleeping
T010102Sleeplessness
T010201"Washing_dressing_and_grooming_oneself"
T010301Health-related_self_care
T010401Personal/Private_activities
T010501Personal_emergencies
T020101Interior_cleaning
T020102Laundry
T020103Sewing_repairing_&_maintaining_textiles
T020104Storing_interior_hh_items_inc._food
T020201Food_and_drink_preparation
T020202Food_presentation
T020203Kitchen_and_food_clean-up
T020301Interior_arrangement_decoration_&_repairs
T020302Building_and_repairing_furniture
T020303Heating_and_cooling
T020401Exterior_cleaning
T020402Exterior_repair_improvements_&_decoration
T020501Lawn_garden_and_houseplant_care
T020502Ponds_pools_and_hot_tubs
T020681Care_for_animals_and_pets_(not_veterinary_care)
T020701Vehicle_repair_and_maintenance_(by_self)
T020801Appliance_tool_and_toy_set-up_repair_&_maintenance_(by_self)
T020901Financial_management
T020902Household_&_personal_organization_and_planning
T020903HH_&_personal_mail_&_messages_(except_e-mail)
T020904HH_&_personal_e-mail_and_messages
T020905Home_security
T030101Physical_care_for_hh_children
T030102Reading_to/with_hh_children
T030103Playing_with_hh_children_not_sports
T030104Arts_and_crafts_with_hh_children
T030105Playing_sports_with_hh_children
T030186Talking_with/listening_to_hh_children
T030108Organization_&_planning_for_hh_children
T030109Looking_after_hh_children_(as_a_primary_activity)
T030110Attending_hh_children's_events
T030111Waiting_for/with_hh_children
T030112Picking_up/dropping_off_hh_children
T030201Homework_(hh_children)
T030202Meetings_and_school_conferences_(hh_children)
T030203Home_schooling_of_hh_children
T030204Waiting_associated_with_hh_children's_education
T030301Providing_medical_care_to_hh_children
T030302Obtaining_medical_care_for_hh_children
T030303Waiting_associated_with_hh_children's_health
T030401Physical_care_for_hh_adults
T030402Looking_after_hh_adult_(as_a_primary_activity)
T030403Providing_medical_care_to_hh_adult
T030404Obtaining_medical_and_care_services_for_hh_adult
T030405Waiting_associated_with_caring_for_household_adults
T030501Helping_hh_adults
T030502Organization_&_planning_for_hh_adults
T030503Picking_up/dropping_off_hh_adult
T030504Waiting_associated_with_helping_hh_adults
T040101Physical_care_for_nonhh_children
T040102_Reading_to/with_nonhh_children
T040103_Playing_with_nonhh_children_not_sports
T040104_Arts_and_crafts_with_nonhh_children
T040105_Playing_sports_with_nonhh_children
T040186_Talking_with/listening_to_nonhh_children
T040108_Organization_&_planning_for_nonhh_children
T040109_Looking_after_nonhh_children_(as_primary_activity)
T040110_Attending_nonhh_children's_events
T040111_Waiting_for/with_nonhh_children
T040112_Dropping_off/picking_up_nonhh_children
040201_Homework_(nonhh_children)
040202_Meetings_and_school_conferences_(nonhh_children)
040203_Home_schooling_of_nonhh_children
040204_Waiting_associated_with_nonhh_children's_education
040301_Providing_medical_care_to_nonhh_children
040302_Obtaining_medical_care_for_nonhh_children
040303_Waiting_associated_with_nonhh_children's_health
040401_Physical_care_for_nonhh_adults
040402_Looking_after_nonhh_adult_(as_a_primary_activity)
040403_Providing_medical_care_to_nonhh_adult
040404_Obtaining_medical_and_care_services_for_nonhh_adult
040405_Waiting_associated_with_caring_for_nonhh_adults
040501_Housework_cooking_&_shopping_assistance_for_nonhh_adults
040502_House_&_lawn_maintenance_&_repair_assistance_for_nonhh_adults
040503_Animal_&_pet_care_assistance_for_nonhh_adults
040504_Vehicle_&_appliance_maintenance/repair_assistance_for_nonhh_adults
040505_Financial_management_assistance_for_nonhh_adults
040506_Household_management_&_paperwork_assistance_for_nonhh_adults
040507_Picking_up/dropping_off_nonhh_adult
040508_Waiting_associated_with_helping_nonhh_adults
050101_Work_main_job
050102_Work_other_job(s)
050103_Security_procedures_related_to_work
050201_Socializing_relaxing_and_leisure_as_part_of_job
050202_Eating_and_drinking_as_part_of_job
050203_Sports_and_exercise_as_part_of_job
050204_Security_procedures_as_part_of_job
050301_Income-generating_hobbies_crafts_and_food
050302_Income-generating_performances
050303_Income-generating_services
050304_Income-generating_rental_property_activities
050481_Job_search_activities
050403_Job_interviewing
050404_Waiting_associated_with_job_search_or_interview
050405_Security_procedures_rel._to_job_search/interviewing
060101_Taking_class_for_degree_certification_or_licensure
060102_Taking_class_for_personal_interest
060103_Waiting_associated_with_taking_classes
060104_Security_procedures_rel._to_taking_classes
060201_Extracurricular_club_activities
060202_Extracurricular_music_&_performance_activities
060203_Extracurricular_student_government_activities
060301_Research/homework_for_class_for_degree_certification_or_licensure
060302_Research/homework_for_class_for_pers._interest
060303_Waiting_associated_with_research/homework
060401_Administrative_activities:_class_for_degree_certification_or_licensure
060402_Administrative_activities:_class_for_personal_interest
060403_Waiting_associated_w/admin._activities_(education)
070101_Grocery_shopping
070102_Purchasing_gas
070103_Purchasing_food_(not_groceries)
070104_Shopping_except_groceries_food_and_gas
070105_Waiting_associated_with_shopping
070201_Comparison_shopping
070301_Security_procedures_rel._to_consumer_purchases
080101_Using_paid_childcare_services
080102_Waiting_associated_w/purchasing_childcare_svcs
080201_Banking
080202_Using_other_financial_services
080203_Waiting_associated_w/banking/financial_services
080301_Using_legal_services
080302_Waiting_associated_with_legal_services
080401_Using_health_and_care_services_outside_the_home
080402_Using_in-home_health_and_care_services
080403_Waiting_associated_with_medical_services
080501_Using_personal_care_services
080502_Waiting_associated_w/personal_care_services
080601_Activities_rel._to_purchasing/selling_real_estate
080602_Waiting_associated_w/purchasing/selling_real_estate
080701_Using_veterinary_services
080702_Waiting_associated_with_veterinary_services
080801_Security_procedures_rel._to_professional/personal_svcs.
090101_Using_interior_cleaning_services
090102_Using_meal_preparation_services
090103_Using_clothing_repair_and_cleaning_services
090104_Waiting_associated_with_using_household_services
090201_Using_home_maint/repair/décor/construction_svcs
090202_Waiting_associated_w/_home_main/repair/décor/constr
090301_Using_pet_services
090302_Waiting_associated_with_pet_services
090401_Using_lawn_and_garden_services
090402_Waiting_associated_with_using_lawn_&_garden_services
090501_Using_vehicle_maintenance_or_repair_services
090502_Waiting_associated_with_vehicle_main._or_repair_svcs
100101_Using_police_and_fire_services
100102_Using_social_services
100103_Obtaining_licenses_&_paying_fines_fees_taxes
100201_Civic_obligations_&_participation
100381_Waiting_associated_with_using_government_services
100383_Waiting_associated_w/civic_obligations_&_participation
100401_Security_procedures_rel._to_govt_svcs/civic_obligations
110101_Eating_and_drinking
110281_Waiting_associated_w/eating_&_drinking
120101_Socializing_and_communicating_with_others
120201_Attending_or_hosting_parties/receptions/ceremonies
120202_Attending_meetings_for_personal_interest_(not_volunteering)
120301_Relaxing_thinking
120302_Tobacco_and_drug_use
120303_Television_and_movies_(not_religious)
120304_Television_(religious)
120305_Listening_to_the_radio
120306_Listening_to/playing_music_(not_radio)
120307_Playing_games
120308_Computer_use_for_leisure_(exc._Games)
120309_Arts_and_crafts_as_a_hobby
120310_Collecting_as_a_hobby
120311_Hobbies_except_arts_&_crafts_and_collecting
120312_Reading_for_personal_interest
120313_Writing_for_personal_interest
120401_Attending_performing_arts
120402_Attending_museums
120403_Attending_movies/film
120404_Attending_gambling_establishments
120405_Security_procedures_rel._to_arts_&_entertainment
120501_Waiting_assoc._w/socializing_&_communicating
120502_Waiting_assoc._w/attending/hosting_social_events
120503_Waiting_associated_with_relaxing/leisure
120504_Waiting_associated_with_arts_&_entertainment
130101_Doing_aerobics
130102_Playing_baseball
130103_Playing_basketball
130104_Biking
130105_Playing_billiards
130106_Boating
130107_Bowling
130108_Climbing_spelunking_caving
130109_Dancing
130110_Participating_in_equestrian_sports
130111_Fencing
130112_Fishing
130113_Playing_football
130114_Golfing
130115_Doing_gymnastics
130116_Hiking
130117_Playing_hockey
130118_Hunting
130119_Participating_in_martial_arts
130120_Playing_racquet_sports
130121_Participating_in_rodeo_competitions
130122_Rollerblading
130123_Playing_rugby
130124_Running
130125_Skiing_ice_skating_snowboarding
130126_Playing_soccer
130127_Softball
130128_Using_cardiovascular_equipment
130129_Vehicle_touring/racing
130130_Playing_volleyball
130131_Walking
130132_Participating_in_water_sports
130133_Weightlifting/strength_training
130134_Working_out_unspecified
130135_Wrestling
130136_Doing_yoga
130201_Watching_aerobics
130202_Watching_baseball
130203_Watching_basketball
130204_Watching_biking
130205_Watching_billiards
130206_Watching_boating
130207_Watching_bowling
130208_Watching_climbing_spelunking_caving
130209_Watching_dancing
130210_Watching_equestrian_sports
130211_Watching_fencing
130212_Watching_fishing
130213_Watching_football
130214_Watching_golfing
130215_Watching_gymnastics
130216_Watching_hockey
130217_Watching_martial_arts
130218_Watching_racquet_sports
130219_Watching_rodeo_competitions
130220_Watching_rollerblading
130221_Watching_rugby
130222_Watching_running
130223_Watching_skiing_ice_skating_snowboarding
130224_Watching_soccer
130225_Watching_softball
130226_Watching_vehicle_touring/racing
130227_Watching_volleyball
