activity,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,85
T010101,607,590,582,597,594,604,589,595,559,560,574,551,567,569,547,529,538,534,531,535,543,528,536,527,536,540,534,528,540,525,522,536,522,531,537,530,528,534,530,531,548,535,535,542,520,534,525,545,538,528,535,537,540,541,528,535,522,541,537,539,537,537,561,528,540,554,571
T010102,2,6,3,4,6,5,6,8,3,4,2,7,4,7,4,3,4,2,5,5,2,6,3,4,3,3,3,2,2,2,2,2,3,7,3,3,5,3,5,3,3,4,2,5,5,7,4,4,3,5,7,4,4,5,5,3,4,5,6,4,7,3,7,10,6,5,6
T010201,50,44,52,43,50,36,52,44,46,42,40,45,51,35,40,41,36,42,39,39,36,35,40,35,37,41,38,40,34,42,37,32,38,40,39,42,40,44,43,42,42,42,41,37,37,34,38,36,37,41,37,35,35,36,38,35,39,38,40,36,39,39,35,37,38,41,41
T010301,4,2,1,0,3,0,0,2,2,6,5,1,7,0,1,7,1,4,9,1,1,1,0,3,2,1,2,4,2,8,1,9,1,6,5,4,5,4,4,1,6,2,13,5,2,3,4,13,5,11,6,10,2,7,7,4,9,4,4,5,4,5,9,11,5,10,10
T010401,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T010501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T020101,8,14,7,12,17,19,33,22,24,19,31,20,22,22,22,33,31,25,25,29,44,26,27,27,26,20,26,22,23,23,29,30,22,31,28,38,25,21,28,22,26,30,22,26,24,23,22,25,26,21,24,25,27,24,23,30,28,28,21,27,24,32,21,25,22,23,24
T020102,7,3,2,9,6,6,4,8,12,8,8,10,6,10,8,8,11,7,11,15,13,11,13,15,12,10,16,13,14,17,13,11,15,14,13,17,16,16,18,18,14,12,16,14,15,10,13,15,15,17,15,15,12,16,18,14,15,16,12,13,16,12,18,19,15,13,10
T020103,0,1,0,0,0,2,2,5,0,0,1,0,2,0,0,1,3,0,1,1,1,1,2,2,0,1,1,0,1,0,0,1,1,0,0,0,0,3,0,1,0,2,2,0,2,1,0,3,2,2,4,3,4,5,7,2,5,2,7,7,3,4,3,7,8,3,6
T020104,0,1,0,0,0,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,2,2,1,2,1,1,2,2,1,2,2,1,1,2,1,1,2,2,2,3,1,2,3,2,1,2,4,1,5,2,2
T020201,11,10,7,14,17,21,21,27,24,28,21,20,29,37,28,37,41,31,32,35,39,38,37,30,34,29,36,33,36,34,36,35,38,33,33,36,37,37,33,28,36,28,29,31,27,28,34,32,32,33,31,34,32,38,39,35,37,36,34,37,40,32,38,31,37,32,36
T020202,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
T020203,3,3,1,3,3,3,2,3,4,5,3,4,8,6,7,7,11,8,7,9,8,10,10,10,8,6,11,9,8,9,13,10,9,9,8,10,9,9,9,9,9,8,8,9,9,7,9,9,9,9,9,9,7,12,10,8,12,13,10,11,13,14,10,10,14,12,10
T020301,0,0,0,3,0,2,0,1,0,4,0,1,3,1,1,1,4,3,2,7,3,3,1,3,1,6,1,2,4,1,4,3,2,6,0,15,6,8,6,1,5,2,5,5,9,9,3,7,6,3,3,2,6,2,3,2,3,3,10,4,3,12,6,2,6,2,0
T020302,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0
T020303,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,2,2,0,1,0,1,1,2,1,1,1,0,1,1,2,0,1,0,0,0,1
T020401,5,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,2,1,5,1,1,4,1,3,2,3,2,2,2,1,7,3,2,1,0,5,1,2,1,2,1,2,1,1,5,3,1,3,4,3,3,1,4,3,2,4,3,2,1,2,5,3,4
T020402,0,0,0,3,3,7,0,0,0,0,0,0,1,1,0,0,1,2,0,0,1,1,0,0,1,2,2,0,0,2,0,0,1,0,0,0,1,1,0,3,0,1,1,2,3,2,3,4,5,7,1,2,7,3,1,1,6,6,1,3,0,4,0,0,2,1,1
T020501,0,0,1,0,2,2,3,4,0,5,5,2,3,3,8,6,3,8,8,9,9,9,11,6,15,6,10,6,9,15,7,13,8,12,9,8,12,11,10,21,12,17,15,21,15,27,18,16,20,18,22,18,23,24,23,21,23,24,18,20,20,21,18,26,19,20,12
T020502,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
T020681,8,4,4,7,6,5,10,5,11,7,9,9,8,9,6,8,7,9,8,9,7,6,9,9,6,9,7,13,10,8,7,10,12,11,6,13,14,9,11,16,8,8,14,8,12,12,10,12,11,13,11,11,15,14,11,10,9,12,14,13,13,14,10,6,12,7,6
T020701,4,0,0,0,6,1,0,0,0,3,7,2,4,3,1,4,2,5,2,1,0,0,1,1,1,4,3,3,1,3,2,2,1,3,1,2,3,2,2,7,8,7,2,2,2,2,3,4,2,3,4,4,2,4,4,3,3,3,2,4,2,4,2,4,3,2,0
T020801,0,0,1,0,2,5,0,0,0,0,0,0,2,1,2,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,2,1,2,3,1,1,0,0,1,0,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,4,2,2,2,2,2,2,1,3,1,1,0
T020901,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,3,0,1,0,1,1,4,1,2,1,1,2,1,2,3,1,1,2,2,3,2,3,3,2,4,3,3,4,3,2,2,3,4,6,4,2,7,4,4,5,3
T020902,4,3,4,1,7,4,5,4,6,5,8,6,6,7,5,5,11,9,6,9,5,8,9,8,6,5,4,11,8,9,7,7,6,5,10,8,8,8,4,8,6,9,11,5,10,10,3,10,7,7,10,14,13,8,13,8,7,10,7,11,11,12,14,12,13,9,9
T020903,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,2,2,2,2,1,2,4,1,2,1,3,3,2,3,4,5
T020904,0,0,1,0,2,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,2,1,1,1,1,2,2,0,0,1,1,2,2,2,3,1,1,1,1,1,2,2,3,2,3,2,2,2,3,3,4,2,5,4,3,3,5,4,8,6,4,4,4,4,6,4,3
T020905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1
T030101,0,1,1,1,0,6,3,2,6,6,8,8,15,20,18,27,30,30,31,37,38,39,29,25,29,20,22,16,15,16,14,8,8,8,5,5,4,2,2,0,2,2,1,3,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
T030102,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2,3,3,3,3,3,4,4,2,2,3,2,2,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T030103,1,1,1,3,1,1,4,3,2,5,4,5,14,13,14,17,22,25,20,22,19,24,18,18,16,16,14,13,7,11,11,2,6,2,1,2,2,0,1,3,1,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T030104,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T030105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,1,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T030108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,3,1,0,0,1,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T030109,0,1,3,0,6,0,0,0,7,3,3,0,1,5,1,2,2,4,3,8,3,3,3,6,2,2,5,2,2,4,3,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T030110,0,0,0,0,0,1,0,1,0,1,0,2,0,2,1,1,1,2,3,5,2,6,3,6,4,8,4,5,6,6,5,9,4,5,3,3,4,6,9,1,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
